@relation nba

@attribute SCORING {'Harden JamesyHOU','George PaulyLAC','Antetokounmpo GiannisyMIL','Embiid JoelyPHI','Curry StephenyGSW','Leonard KawhiyLAC','Booker DevinyPHX','Durant KevinyBKN','Lillard DamianyPOR','Walker KembayBOS','Beal BradleyyWAS','Griffin BlakeyDET','Towns Karl?AnthonyyMIN','Irving KyrieyBKN','Mitchell DonovanyUTA','LaVine ZachyCHI','Westbrook RussellyHOU','Thompson KlayyGSW','Randle JuliusyNYK','Aldridge LaMarcusySAS','DeRozan DeMarySAS','Doncic LukayDAL','Holiday JrueyNOP','Russell D\'AngeloyGSW','Conley MikeyUTA','McCollum CJyPOR','Vucevic NikolayORL','Hield BuddyySAC','Jokic NikolayDEN','Harris TobiasyPHI','Williams LouyLAC','Gallinari DaniloyOKC','Collins JohnyATL','Young TraeyATL','Butler JimmyyMIA','Kuzma KyleyLAL','Middleton KhrisyMIL','Murray JamalyDEN','Wiggins AndrewyMIN','Hardaway TimyDAL','Redick JJyNOP','Bogdanovic BojanyUTA','Drummond AndreyDET','Fox De\'AaronySAC','Siakam PascalyTOR','Simmons BenyPHI','Clarkson JordanyCLE','Dinwiddie SpenceryBKN','Sexton CollinyCLE','Capela ClintyHOU','Harrell MontrezlyLAC','Richardson JoshyPHI','Barnes HarrisonySAC','Ayton DeandreyPHX','Gordon EricyHOU','Gordon AaronyORL','Bledsoe EricyMIL','Gobert RudyyUTA','Tatum JaysonyBOS','Brogdon MalcolmyIND','Nurkic JusufyPOR','Paul ChrisyOKC','Schroder DennisyOKC','Jackson ReggieyDET','Lamb JeremyyIND','Oubre KellyyPHX','Fournier EvanyORL','Ross TerrenceyORL','Wade Dwyane','Ibaka SergeyTOR','Bagley MarvinySAC','Mudiay EmmanuelyUTA','Parker JabariyATL','Lowry KyleyTOR','Bogdanovic BogdanySAC','Sabonis DomantasyIND','Morris MarcusyNYK','Adams StevenyOKC','Jackson JarenyMEM','Gay RudyySAS','Harris JoeyBKN','Kanter EnesyBOS','Grant JeramiyDEN','Horford AlyPHI','Gasol MarcyTOR','Turner MylesyIND','Osman CediyCLE','Brown JaylenyBOS','Knox KevinyNYK','Rubio RickyyPHX','Young ThaddeusyCHI','Millsap PaulyDEN','Winslow JustiseyMIA','Ariza TrevorySAC','Lopez BrookyMIL','Whiteside HassanyPOR','Green JeffyUTA','Matthews WesleyyMIL','Ingles JoeyUTA','McGee JaValeyLAL'}
@attribute GP numeric
@attribute GS numeric
@attribute MPG numeric
@attribute PPG numeric
@attribute PTS/48 numeric
@attribute PTS numeric
@attribute FGM/G numeric
@attribute FGA/G numeric
@attribute FG_percent numeric
@attribute 3FGM/G numeric
@attribute 3FGA/G numeric
@attribute 3FG_percent numeric
@attribute FTM/G numeric
@attribute FTA/G numeric
@attribute FT_percent numeric
@attribute HIGH numeric
@attribute PPS numeric

@data
'Harden JamesyHOU',78,78,36.8,36.1,47.2,2818,10.8,24.5,0.442,4.8,13.2,0.368,9.7,11,0.879,61,1.48
'George PaulyLAC',77,77,36.9,28,36.5,2159,9.2,21,0.438,3.8,9.8,0.386,5.9,7,0.839,47,1.34
'Antetokounmpo GiannisyMIL',72,72,32.8,27.7,40.6,1994,10,17.3,0.578,0.7,2.8,0.256,6.9,9.5,0.729,52,1.6
'Embiid JoelyPHI',64,64,33.7,27.5,39.2,1761,9.1,18.7,0.484,1.2,4.1,0.3,8.2,10.1,0.804,42,1.47
'Curry StephenyGSW',69,69,33.8,27.3,38.7,1881,9.2,19.4,0.472,5.1,11.7,0.437,3.8,4.2,0.916,51,1.4
'Leonard KawhiyLAC',60,60,34,26.6,37.6,1596,9.3,18.8,0.496,1.9,5,0.371,6.1,7.1,0.854,45,1.41
'Booker DevinyPHX',64,64,35,26.6,36.4,1700,9.2,19.6,0.467,2.1,6.5,0.326,6.1,7.1,0.866,59,1.35
'Durant KevinyBKN',78,78,34.6,26,36,2027,9.2,17.7,0.521,1.8,5,0.353,5.7,6.5,0.885,51,1.47
'Lillard DamianyPOR',80,80,35.5,25.8,35,2067,8.5,19.2,0.444,3,8,0.369,5.9,6.4,0.912,51,1.35
'Walker KembayBOS',82,82,34.9,25.6,35.2,2102,8.9,20.5,0.434,3.2,8.9,0.356,4.6,5.5,0.844,60,1.25
'Beal BradleyyWAS',82,82,36.9,25.6,33.3,2099,9.3,19.6,0.475,2.5,7.3,0.351,4.4,5.5,0.808,46,1.3
'Griffin BlakeyDET',75,75,35,24.5,33.7,1841,8.3,17.9,0.462,2.5,7,0.362,5.5,7.3,0.753,50,1.37
'Towns Karl?AnthonyyMIN',77,77,33.1,24.4,35.5,1880,8.8,17.1,0.518,1.8,4.6,0.4,4.9,5.8,0.836,42,1.43
'Irving KyrieyBKN',67,67,33,23.8,34.6,1596,9,18.5,0.487,2.6,6.5,0.401,3.2,3.7,0.873,43,1.29
'Mitchell DonovanyUTA',77,77,33.7,23.8,33.8,1829,8.6,19.9,0.432,2.4,6.7,0.362,4.1,5.1,0.806,46,1.2
'LaVine ZachyCHI',63,62,34.5,23.7,33,1492,8.4,18,0.467,1.9,5.1,0.374,5,6,0.832,47,1.31
'Westbrook RussellyHOU',73,73,36,22.9,30.6,1675,8.6,20.2,0.428,1.6,5.6,0.29,4.1,6.2,0.656,44,1.14
'Thompson KlayyGSW',78,78,34,21.5,30.4,1680,8.4,18,0.467,3.1,7.7,0.402,1.7,2,0.816,52,1.2
'Randle JuliusyNYK',73,49,30.6,21.4,33.7,1565,7.8,14.9,0.524,0.9,2.7,0.344,4.9,6.7,0.731,45,1.44
'Aldridge LaMarcusySAS',81,81,33.2,21.3,30.9,1727,8.4,16.3,0.519,0.1,0.5,0.238,4.3,5.1,0.847,56,1.31
'DeRozan DeMarySAS',77,77,34.9,21.2,29.2,1635,8.2,17.1,0.481,0.1,0.6,0.156,4.8,5.7,0.83,36,1.25
'Doncic LukayDAL',72,72,32.2,21.2,31.6,1526,7,16.5,0.427,2.3,7.1,0.327,4.8,6.7,0.713,35,1.29
'Holiday JrueyNOP',67,67,35.9,21.2,28.4,1420,8.2,17.3,0.472,1.8,5.4,0.325,3.1,4,0.768,37,1.23
'Russell D\'AngeloyGSW',81,81,30.2,21.1,33.6,1712,8.1,18.7,0.434,2.9,7.8,0.369,2,2.5,0.78,44,1.13
'Conley MikeyUTA',70,70,33.5,21.1,30.3,1478,7,16,0.438,2.2,6.1,0.364,4.9,5.8,0.845,40,1.32
'McCollum CJyPOR',70,70,33.9,21,29.7,1468,8.2,17.8,0.459,2.4,6.4,0.375,2.3,2.7,0.828,40,1.18
'Vucevic NikolayORL',80,80,31.4,20.8,31.8,1665,8.8,16.9,0.518,1.1,2.9,0.364,2.2,2.8,0.789,36,1.23
'Hield BuddyySAC',82,82,31.9,20.7,31.1,1695,7.6,16.6,0.458,3.4,7.9,0.427,2.1,2.4,0.886,37,1.25
'Jokic NikolayDEN',80,80,31.3,20.1,30.7,1604,7.7,15.1,0.511,1,3.4,0.307,3.6,4.4,0.821,40,1.33
'Harris TobiasyPHI',82,82,34.7,20,27.7,1644,7.5,15.3,0.487,1.9,4.8,0.397,3.2,3.7,0.866,39,1.31
'Williams LouyLAC',75,1,26.6,20,36.1,1498,6.5,15.2,0.425,1.4,3.9,0.361,5.7,6.5,0.876,45,1.32
'Gallinari DaniloyOKC',68,68,30.3,19.8,31.4,1346,6,13,0.463,2.4,5.5,0.433,5.4,6,0.904,34,1.52
'Collins JohnyATL',61,59,30,19.5,31.2,1188,7.6,13.6,0.56,0.9,2.6,0.348,3.3,4.4,0.763,35,1.43
'Young TraeyATL',81,81,30.9,19.1,29.7,1549,6.5,15.5,0.418,1.9,6,0.324,4.2,5.1,0.829,49,1.23
'Butler JimmyyMIA',65,65,33.6,18.7,26.7,1215,6.4,13.9,0.462,1,3,0.347,4.8,5.6,0.855,?,1.34
'Kuzma KyleyLAL',70,68,33.1,18.7,27.1,1308,7.1,15.5,0.456,1.8,6,0.303,2.7,3.6,0.752,41,1.2
'Middleton KhrisyMIL',77,77,31.1,18.3,28.2,1407,6.6,14.9,0.441,2.3,6.2,0.378,2.8,3.4,0.837,39,1.23
